age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
30-39,blue-collar,married,primary,no,<999,yes,yes,cellular,<9,1,60-239,2,FALSE,0,unknown,no
30-39,management,single,secondary,no,<999,no,no,cellular,17-24,2,60-239,2,FALSE,0,unknown,no
50-59,management,married,tertiary,no,1000-10999,yes,no,telephone,17-24,2,>239,1,FALSE,0,unknown,no
40-49,services,married,secondary,no,<999,no,no,unknown,<9,1,60-239,1,FALSE,0,unknown,no
<30,management,single,tertiary,no,<999,no,no,cellular,<9,2,60-239,2,TRUE,>0,success,no
40-49,unemployed,married,secondary,no,1000-10999,yes,yes,unknown,17-24,1,<60,1,FALSE,0,unknown,no
30-39,technician,married,tertiary,no,<999,no,no,cellular,17-24,2,60-239,>2,FALSE,0,unknown,no
30-39,admin.,married,secondary,no,<999,no,no,cellular,>24,1,>239,2,FALSE,0,unknown,no
30-39,technician,divorced,secondary,no,<999,no,no,cellular,>24,1,60-239,>2,TRUE,>0,failure,no
40-49,blue-collar,married,primary,no,1000-10999,yes,no,unknown,"""9-16""",1,<60,1,FALSE,0,unknown,no
30-39,services,divorced,secondary,no,<999,yes,no,cellular,17-24,2,>239,1,FALSE,0,unknown,no
30-39,technician,single,tertiary,no,<999,no,no,cellular,>24,2,60-239,>2,FALSE,0,unknown,no
50-59,blue-collar,divorced,secondary,no,<999,yes,no,unknown,>24,1,60-239,>2,FALSE,0,unknown,no
30-39,admin.,divorced,secondary,no,<999,no,no,cellular,>24,1,60-239,2,FALSE,0,unknown,no
30-39,management,married,tertiary,no,1000-10999,yes,no,telephone,17-24,2,60-239,1,FALSE,0,unknown,no
30-39,services,married,secondary,no,1000-10999,yes,no,unknown,<9,1,60-239,>2,FALSE,0,unknown,no
30-39,admin.,married,secondary,no,<999,no,no,cellular,<9,1,60-239,>2,FALSE,0,unknown,no
30-39,services,single,secondary,no,<999,yes,no,unknown,<9,1,60-239,2,FALSE,0,unknown,no
40-49,management,single,tertiary,no,<999,no,no,unknown,17-24,1,60-239,1,FALSE,0,unknown,no
50-59,blue-collar,married,primary,no,1000-10999,yes,no,cellular,17-24,1,60-239,1,FALSE,0,unknown,no
30-39,blue-collar,single,secondary,no,1000-10999,yes,no,cellular,17-24,1,>239,2,FALSE,0,unknown,yes
<30,unemployed,single,tertiary,no,<999,yes,yes,unknown,"""9-16""",1,>239,>2,FALSE,0,unknown,no
30-39,management,married,tertiary,no,<999,no,no,cellular,17-24,2,60-239,1,TRUE,>0,other,no
40-49,admin.,divorced,secondary,no,1000-10999,yes,no,cellular,"""9-16""",2,60-239,2,FALSE,0,unknown,no
40-49,blue-collar,married,secondary,no,<999,yes,no,unknown,>24,1,<60,>2,FALSE,0,unknown,no
50-59,management,divorced,tertiary,no,1000-10999,no,no,cellular,<9,1,60-239,2,FALSE,0,unknown,yes
50-59,retired,married,tertiary,no,1000-10999,no,no,cellular,"""9-16""",2,60-239,>2,FALSE,0,unknown,no
30-39,blue-collar,married,primary,no,<999,no,no,cellular,<9,2,>239,1,FALSE,0,unknown,no
30-39,blue-collar,married,primary,no,<999,yes,no,cellular,"""9-16""",1,>239,2,TRUE,>0,other,yes
30-39,management,divorced,secondary,no,<999,no,no,cellular,<9,2,60-239,2,FALSE,0,unknown,no
30-39,management,single,tertiary,no,1000-10999,no,no,cellular,17-24,2,60-239,>2,FALSE,0,unknown,no
30-39,admin.,married,secondary,no,<999,yes,no,cellular,17-24,2,<60,>2,FALSE,0,unknown,no
50-59,entrepreneur,married,secondary,no,<999,yes,no,unknown,"""9-16""",1,60-239,1,FALSE,0,unknown,no
30-39,self-employed,married,secondary,no,<999,yes,no,cellular,>24,2,<60,>2,FALSE,0,unknown,no
40-49,blue-collar,married,primary,no,<999,yes,no,unknown,"""9-16""",1,>239,>2,FALSE,0,unknown,no
<30,blue-collar,single,secondary,no,<999,yes,no,unknown,>24,1,60-239,>2,FALSE,0,unknown,no
<30,services,single,secondary,no,<999,no,yes,cellular,<9,2,>239,1,FALSE,0,unknown,no
50-59,management,married,tertiary,no,<999,no,yes,cellular,17-24,2,<60,>2,FALSE,0,unknown,no
30-39,technician,married,secondary,no,<999,yes,no,cellular,17-24,2,>239,>2,FALSE,0,unknown,no
50-59,blue-collar,divorced,secondary,no,<999,yes,no,cellular,<9,1,60-239,2,FALSE,0,unknown,no
30-39,blue-collar,married,secondary,no,<999,yes,no,cellular,<9,1,>239,>2,FALSE,0,unknown,no
50-59,technician,married,secondary,no,1000-10999,no,no,cellular,17-24,2,>239,>2,FALSE,0,unknown,no
30-39,self-employed,married,tertiary,no,1000-10999,no,no,cellular,>24,2,<60,2,FALSE,0,unknown,no
30-39,management,married,secondary,no,<999,no,no,cellular,17-24,2,60-239,>2,FALSE,0,unknown,no
50-59,admin.,single,secondary,no,<999,no,no,telephone,"""9-16""",2,60-239,1,FALSE,0,unknown,no
40-49,management,married,tertiary,no,<999,no,no,cellular,<9,2,<60,>2,FALSE,0,unknown,no
30-39,blue-collar,married,secondary,no,<999,yes,no,unknown,"""9-16""",1,>239,>2,FALSE,0,unknown,no
50-59,management,married,unknown,no,1000-10999,yes,no,unknown,<9,1,60-239,>2,FALSE,0,unknown,no
30-39,blue-collar,single,secondary,no,1000-10999,yes,no,cellular,17-24,2,>239,2,TRUE,>0,failure,no
<30,admin.,married,secondary,no,<999,yes,yes,unknown,17-24,1,60-239,2,FALSE,0,unknown,no
30-39,management,married,tertiary,no,<999,yes,no,cellular,<9,1,60-239,2,FALSE,0,unknown,no
<30,self-employed,single,tertiary,no,<999,no,no,cellular,"""9-16""",2,>239,2,TRUE,>0,other,yes
50-59,self-employed,married,secondary,no,<999,yes,no,unknown,<9,1,<60,1,FALSE,0,unknown,no
50-59,technician,married,tertiary,no,<999,no,no,cellular,>24,2,>239,>2,FALSE,0,unknown,no
40-49,retired,divorced,tertiary,no,1000-10999,yes,no,cellular,>24,1,60-239,1,FALSE,0,unknown,no
50-59,technician,divorced,secondary,no,<999,no,no,cellular,<9,1,60-239,2,FALSE,0,unknown,no
50-59,entrepreneur,married,primary,no,<999,yes,no,cellular,<9,2,60-239,>2,FALSE,0,unknown,no
30-39,unemployed,divorced,secondary,no,<999,no,no,unknown,"""9-16""",1,<60,>2,FALSE,0,unknown,no
>59,admin.,married,unknown,no,1000-10999,yes,no,cellular,>24,2,>239,1,FALSE,0,unknown,yes
40-49,management,single,tertiary,no,<999,no,yes,unknown,<9,2,60-239,1,FALSE,0,unknown,no
40-49,housemaid,married,primary,no,<999,no,no,unknown,"""9-16""",1,60-239,>2,FALSE,0,unknown,no
30-39,admin.,single,secondary,no,<999,yes,no,unknown,17-24,1,60-239,1,FALSE,0,unknown,no
>59,management,married,tertiary,no,1000-10999,no,no,cellular,"""9-16""",2,>239,2,TRUE,>0,other,no
30-39,blue-collar,single,secondary,no,1000-10999,yes,no,unknown,<9,1,>239,1,FALSE,0,unknown,no
40-49,blue-collar,divorced,primary,no,<999,yes,no,unknown,"""9-16""",1,60-239,>2,FALSE,0,unknown,no
40-49,management,divorced,unknown,no,<999,yes,no,unknown,<9,1,60-239,1,FALSE,0,unknown,no
<30,management,single,tertiary,no,<999,no,no,cellular,"""9-16""",2,60-239,>2,FALSE,0,unknown,no
30-39,blue-collar,married,unknown,no,<999,yes,no,unknown,17-24,1,>239,2,FALSE,0,unknown,no
40-49,management,married,tertiary,no,<999,no,no,cellular,<9,2,60-239,>2,FALSE,0,unknown,no
30-39,services,married,secondary,no,1000-10999,no,yes,cellular,<9,1,>239,1,TRUE,>0,success,yes
30-39,blue-collar,single,primary,no,<999,yes,no,cellular,17-24,1,60-239,2,TRUE,>0,failure,no
50-59,unemployed,divorced,secondary,no,<999,no,no,unknown,17-24,1,>239,2,FALSE,0,unknown,no
40-49,management,married,tertiary,no,<999,yes,yes,cellular,17-24,2,60-239,1,TRUE,>0,failure,no
30-39,management,married,tertiary,no,<999,yes,no,cellular,17-24,2,<60,>2,FALSE,0,unknown,no
30-39,blue-collar,single,primary,no,<999,yes,no,unknown,<9,1,60-239,2,FALSE,0,unknown,no
30-39,management,single,tertiary,no,1000-10999,yes,no,cellular,"""9-16""",1,>239,1,TRUE,>0,failure,yes
30-39,blue-collar,married,secondary,no,1000-10999,yes,no,unknown,17-24,1,<60,2,FALSE,0,unknown,no
<30,services,married,secondary,no,<999,yes,no,cellular,<9,1,>239,1,TRUE,>0,failure,no
50-59,blue-collar,married,primary,no,<999,yes,no,unknown,>24,1,60-239,2,FALSE,0,unknown,no
<30,technician,single,tertiary,no,<999,yes,yes,cellular,>24,2,>239,2,FALSE,0,unknown,yes
30-39,management,single,tertiary,no,<999,no,no,cellular,"""9-16""",2,>239,>2,FALSE,0,unknown,no
50-59,retired,divorced,tertiary,no,<999,no,no,cellular,17-24,1,>239,1,TRUE,>0,success,yes
50-59,retired,married,secondary,no,<999,yes,no,cellular,<9,1,60-239,>2,TRUE,>0,other,no
30-39,blue-collar,single,secondary,no,1000-10999,yes,no,cellular,17-24,1,>239,2,TRUE,>0,failure,no
50-59,blue-collar,married,unknown,no,1000-10999,no,no,telephone,17-24,1,60-239,2,FALSE,0,unknown,yes
40-49,housemaid,single,primary,no,1000-10999,no,no,cellular,"""9-16""",2,60-239,1,FALSE,0,unknown,no
50-59,admin.,single,secondary,no,<999,no,no,cellular,17-24,2,>239,1,FALSE,0,unknown,no
50-59,retired,married,secondary,no,1000-10999,no,no,cellular,"""9-16""",2,>239,2,FALSE,0,unknown,no
40-49,blue-collar,single,secondary,no,<999,yes,no,cellular,"""9-16""",1,60-239,1,FALSE,0,unknown,no
<30,management,single,tertiary,no,<999,yes,no,unknown,<9,1,60-239,1,FALSE,0,unknown,no
40-49,technician,married,secondary,no,1000-10999,no,no,cellular,<9,2,>239,2,FALSE,0,unknown,no
30-39,student,single,tertiary,no,<999,no,no,cellular,>24,2,>239,2,FALSE,0,unknown,no
50-59,self-employed,divorced,primary,no,1000-10999,yes,no,telephone,17-24,1,60-239,>2,FALSE,0,unknown,no
30-39,unemployed,single,primary,no,1000-10999,no,no,cellular,<9,1,60-239,>2,FALSE,0,unknown,no
30-39,management,single,tertiary,no,<999,yes,no,unknown,<9,1,60-239,2,FALSE,0,unknown,no
40-49,management,single,tertiary,no,<999,no,yes,cellular,17-24,2,60-239,1,FALSE,0,unknown,no
30-39,management,married,tertiary,no,<999,yes,no,cellular,>24,1,>239,2,FALSE,0,unknown,no
50-59,technician,married,secondary,no,<999,no,yes,cellular,"""9-16""",2,60-239,>2,FALSE,0,unknown,no
30-39,blue-collar,single,tertiary,no,1000-10999,no,no,cellular,<9,1,60-239,2,FALSE,0,unknown,no
30-39,services,married,primary,no,<999,yes,yes,cellular,<9,1,60-239,1,TRUE,>0,other,no
40-49,technician,married,secondary,no,<999,yes,yes,cellular,<9,2,60-239,>2,FALSE,0,unknown,no
30-39,entrepreneur,divorced,tertiary,no,<999,yes,no,unknown,<9,1,60-239,>2,FALSE,0,unknown,no
40-49,admin.,single,secondary,no,<999,yes,no,cellular,<9,1,>239,>2,TRUE,>0,failure,yes
40-49,admin.,married,secondary,no,1000-10999,no,no,cellular,"""9-16""",2,>239,1,TRUE,>0,success,yes
50-59,management,married,tertiary,no,1000-10999,no,no,cellular,"""9-16""",2,>239,>2,FALSE,0,unknown,no
50-59,entrepreneur,divorced,secondary,no,<999,no,no,cellular,17-24,2,60-239,>2,FALSE,0,unknown,no
30-39,technician,married,tertiary,no,1000-10999,yes,no,cellular,17-24,2,60-239,>2,FALSE,0,unknown,no
30-39,blue-collar,married,primary,no,<999,yes,yes,unknown,>24,1,<60,>2,FALSE,0,unknown,no
30-39,self-employed,married,primary,no,<999,yes,no,unknown,<9,1,>239,2,FALSE,0,unknown,no
50-59,management,single,secondary,no,1000-10999,yes,no,cellular,>24,2,60-239,>2,FALSE,0,unknown,no
40-49,entrepreneur,married,secondary,no,<999,yes,yes,cellular,<9,1,>239,>2,TRUE,>0,other,no
40-49,blue-collar,married,secondary,no,<999,no,no,unknown,"""9-16""",1,60-239,2,FALSE,0,unknown,no
>59,blue-collar,divorced,primary,no,1000-10999,yes,no,unknown,<9,1,60-239,2,FALSE,0,unknown,no
<30,admin.,single,secondary,no,<999,yes,no,cellular,<9,1,>239,2,FALSE,0,unknown,no
>59,blue-collar,married,secondary,no,<999,no,no,cellular,>24,2,>239,1,TRUE,>0,failure,no
30-39,management,single,tertiary,no,<999,yes,no,unknown,>24,1,>239,1,FALSE,0,unknown,yes
30-39,services,single,secondary,no,1000-10999,no,no,cellular,>24,1,60-239,1,FALSE,0,unknown,no
50-59,blue-collar,married,primary,no,1000-10999,no,no,unknown,<9,1,60-239,2,FALSE,0,unknown,no
40-49,unemployed,single,primary,no,1000-10999,no,no,telephone,>24,2,60-239,2,FALSE,0,unknown,no
50-59,management,married,tertiary,no,1000-10999,no,no,cellular,>24,1,>239,2,FALSE,0,unknown,no
50-59,admin.,married,secondary,no,<999,yes,no,cellular,17-24,2,60-239,2,FALSE,0,unknown,no
40-49,technician,divorced,secondary,no,<999,no,yes,cellular,17-24,2,>239,1,FALSE,0,unknown,no
30-39,management,married,tertiary,no,<999,no,no,cellular,"""9-16""",2,60-239,>2,FALSE,0,unknown,no
<30,admin.,married,tertiary,no,<999,yes,no,unknown,>24,1,<60,1,FALSE,0,unknown,no
30-39,technician,single,tertiary,no,1000-10999,no,no,cellular,>24,2,60-239,>2,TRUE,>0,failure,no
>59,management,married,tertiary,no,1000-10999,no,no,cellular,"""9-16""",2,>239,>2,FALSE,0,unknown,no
40-49,blue-collar,married,secondary,no,<999,yes,no,unknown,"""9-16""",1,60-239,>2,FALSE,0,unknown,no
50-59,admin.,divorced,secondary,no,<999,yes,no,unknown,>24,1,>239,2,FALSE,0,unknown,no
<30,student,single,secondary,no,<999,no,no,telephone,"""9-16""",2,>239,1,TRUE,>0,success,yes
50-59,management,married,tertiary,no,1000-10999,no,no,cellular,17-24,2,>239,>2,FALSE,0,unknown,no
40-49,management,married,secondary,no,<999,yes,no,cellular,"""9-16""",1,60-239,>2,TRUE,>0,failure,no
>59,management,married,secondary,no,<999,no,no,cellular,"""9-16""",1,>239,2,TRUE,>0,success,yes
40-49,management,married,tertiary,no,<999,yes,no,unknown,"""9-16""",1,60-239,1,FALSE,0,unknown,no
50-59,unemployed,divorced,secondary,no,<999,yes,no,unknown,<9,1,>239,1,FALSE,0,unknown,yes
30-39,management,married,secondary,no,<999,yes,no,unknown,17-24,1,>239,1,FALSE,0,unknown,no
50-59,blue-collar,divorced,primary,no,1000-10999,yes,no,unknown,"""9-16""",1,>239,2,FALSE,0,unknown,no
40-49,services,married,unknown,no,1000-10999,yes,no,unknown,"""9-16""",1,>239,>2,FALSE,0,unknown,no
30-39,services,single,secondary,no,<999,yes,no,cellular,17-24,1,60-239,1,TRUE,>0,failure,no
>59,retired,married,tertiary,no,1000-10999,no,no,cellular,<9,1,>239,2,FALSE,0,unknown,no
<30,technician,married,secondary,no,<999,yes,no,unknown,"""9-16""",1,>239,>2,FALSE,0,unknown,no
>59,retired,divorced,secondary,no,1000-10999,no,no,cellular,>24,2,60-239,>2,FALSE,0,unknown,no
40-49,self-employed,married,tertiary,no,<999,yes,no,cellular,"""9-16""",2,60-239,2,FALSE,0,unknown,no
40-49,housemaid,divorced,primary,no,<999,no,no,unknown,17-24,1,60-239,1,FALSE,0,unknown,no
30-39,technician,married,secondary,no,<999,yes,no,cellular,17-24,1,60-239,1,TRUE,>0,failure,no
30-39,technician,married,primary,no,1000-10999,yes,no,cellular,17-24,1,>239,2,FALSE,0,unknown,no
>59,retired,married,primary,no,1000-10999,no,no,cellular,<9,1,>239,2,TRUE,>0,success,no
50-59,blue-collar,single,primary,no,1000-10999,yes,no,cellular,17-24,2,60-239,1,FALSE,0,unknown,no
50-59,blue-collar,married,primary,no,<999,no,no,cellular,"""9-16""",2,>239,2,FALSE,0,unknown,no
40-49,admin.,divorced,unknown,no,<999,no,no,telephone,<9,2,<60,>2,FALSE,0,unknown,no
50-59,management,divorced,tertiary,no,<999,no,no,cellular,"""9-16""",2,60-239,1,FALSE,0,unknown,no
40-49,services,married,secondary,no,<999,yes,yes,cellular,"""9-16""",1,60-239,2,TRUE,>0,failure,no
30-39,admin.,single,secondary,no,<999,yes,no,unknown,<9,1,>239,1,FALSE,0,unknown,no
30-39,services,married,secondary,no,1000-10999,yes,no,telephone,"""9-16""",1,60-239,2,TRUE,>0,failure,no
40-49,self-employed,divorced,secondary,no,<999,yes,no,cellular,"""9-16""",1,>239,>2,FALSE,0,unknown,no
30-39,technician,married,secondary,no,<999,yes,no,cellular,<9,2,60-239,2,FALSE,0,unknown,no
30-39,management,single,tertiary,no,1000-10999,yes,no,cellular,"""9-16""",1,60-239,>2,TRUE,>0,failure,no
30-39,management,single,tertiary,no,<999,no,no,cellular,<9,2,>239,1,FALSE,0,unknown,yes
<30,housemaid,single,primary,yes,<999,yes,yes,cellular,17-24,2,60-239,1,FALSE,0,unknown,no
30-39,technician,single,secondary,no,<999,yes,no,cellular,"""9-16""",1,60-239,2,TRUE,>0,failure,no
40-49,admin.,married,secondary,no,1000-10999,no,no,cellular,"""9-16""",1,60-239,1,FALSE,0,unknown,yes
30-39,self-employed,single,tertiary,no,1000-10999,no,no,unknown,<9,1,>239,2,FALSE,0,unknown,no
>59,retired,married,primary,no,1000-10999,no,no,telephone,<9,1,60-239,1,FALSE,0,unknown,no
40-49,services,married,secondary,no,<999,no,no,cellular,"""9-16""",2,60-239,2,FALSE,0,unknown,no
>59,retired,married,primary,no,1000-10999,no,no,telephone,<9,1,<60,1,FALSE,0,unknown,no
30-39,services,married,secondary,no,1000-10999,yes,no,unknown,"""9-16""",1,<60,>2,FALSE,0,unknown,no
30-39,blue-collar,single,secondary,no,<999,yes,yes,cellular,"""9-16""",2,>239,>2,FALSE,0,unknown,yes
30-39,admin.,married,secondary,no,<999,yes,no,cellular,>24,2,60-239,>2,FALSE,0,unknown,no
50-59,management,divorced,primary,no,<999,yes,no,cellular,"""9-16""",1,60-239,>2,TRUE,>0,other,no
<30,self-employed,married,tertiary,no,<999,yes,no,cellular,<9,1,60-239,>2,FALSE,0,unknown,no
30-39,technician,single,tertiary,no,<999,yes,no,cellular,"""9-16""",1,<60,>2,TRUE,>0,failure,no
30-39,admin.,married,secondary,no,<999,yes,yes,cellular,17-24,1,>239,2,FALSE,0,unknown,no
30-39,blue-collar,married,primary,no,1000-10999,yes,no,unknown,>24,1,>239,>2,FALSE,0,unknown,no
40-49,technician,married,secondary,no,<999,yes,yes,unknown,>24,1,60-239,1,FALSE,0,unknown,no
30-39,self-employed,divorced,tertiary,no,1000-10999,no,no,cellular,"""9-16""",1,>239,1,FALSE,0,unknown,no
<30,student,single,secondary,no,<999,no,no,cellular,"""9-16""",2,>239,>2,TRUE,>0,failure,yes
30-39,blue-collar,divorced,secondary,no,<999,no,no,cellular,"""9-16""",2,60-239,2,FALSE,0,unknown,no
30-39,technician,married,secondary,no,<999,yes,no,cellular,<9,2,>239,>2,FALSE,0,unknown,yes
30-39,management,divorced,tertiary,no,<999,no,yes,cellular,"""9-16""",2,>239,1,FALSE,0,unknown,yes
50-59,housemaid,married,secondary,no,<999,no,no,telephone,>24,2,<60,>2,FALSE,0,unknown,no
40-49,technician,married,primary,no,<999,yes,no,unknown,<9,1,60-239,2,FALSE,0,unknown,no
50-59,admin.,married,secondary,no,<999,yes,yes,cellular,<9,1,60-239,1,FALSE,0,unknown,no
30-39,management,married,tertiary,no,<999,yes,no,cellular,17-24,2,>239,1,FALSE,0,unknown,no
<30,admin.,single,secondary,no,<999,no,no,cellular,<9,1,60-239,1,TRUE,>0,other,no
40-49,blue-collar,divorced,primary,no,<999,yes,no,cellular,"""9-16""",1,60-239,1,FALSE,0,unknown,no
<30,blue-collar,married,primary,no,<999,yes,yes,cellular,17-24,1,60-239,>2,FALSE,0,unknown,no
30-39,technician,single,secondary,no,<999,no,no,cellular,<9,2,60-239,2,FALSE,0,unknown,no
40-49,technician,married,tertiary,no,<999,yes,yes,unknown,>24,1,60-239,2,FALSE,0,unknown,no
40-49,technician,married,secondary,no,<999,no,no,cellular,>24,2,60-239,>2,FALSE,0,unknown,no
<30,entrepreneur,single,tertiary,no,<999,no,no,cellular,<9,1,>239,2,TRUE,>0,other,yes
<30,self-employed,single,tertiary,no,<999,yes,no,cellular,<9,2,60-239,1,FALSE,0,unknown,no
30-39,management,single,tertiary,no,<999,no,no,cellular,<9,2,>239,>2,FALSE,0,unknown,no
30-39,admin.,married,secondary,no,1000-10999,no,no,cellular,>24,2,60-239,>2,FALSE,0,unknown,no
>59,retired,divorced,tertiary,no,1000-10999,no,no,cellular,"""9-16""",2,>239,>2,FALSE,0,unknown,no
50-59,retired,married,secondary,no,<999,no,no,cellular,>24,1,60-239,1,FALSE,0,unknown,yes
<30,blue-collar,married,primary,no,<999,yes,no,cellular,17-24,2,60-239,2,FALSE,0,unknown,no
40-49,management,divorced,tertiary,no,>10999,yes,no,unknown,<9,1,60-239,2,FALSE,0,unknown,no
30-39,blue-collar,married,secondary,no,<999,no,no,unknown,17-24,1,>239,1,FALSE,0,unknown,no
30-39,admin.,married,secondary,no,<999,yes,no,cellular,<9,1,>239,2,FALSE,0,unknown,no
30-39,blue-collar,married,primary,no,1000-10999,yes,no,unknown,17-24,1,<60,>2,FALSE,0,unknown,no
40-49,blue-collar,married,secondary,no,<999,yes,no,telephone,17-24,2,>239,2,FALSE,0,unknown,no
50-59,services,married,secondary,no,<999,yes,no,unknown,"""9-16""",1,>239,2,FALSE,0,unknown,no
30-39,blue-collar,single,primary,no,<999,yes,no,unknown,>24,1,>239,1,FALSE,0,unknown,no
30-39,technician,single,secondary,no,<999,no,no,cellular,>24,2,60-239,2,FALSE,0,unknown,no
30-39,housemaid,married,secondary,no,<999,no,no,cellular,>24,1,<60,>2,TRUE,>0,other,no
<30,blue-collar,single,secondary,no,<999,yes,no,cellular,"""9-16""",1,>239,>2,FALSE,0,unknown,no
50-59,management,married,tertiary,no,<999,no,no,cellular,17-24,2,60-239,2,FALSE,0,unknown,no
<30,management,married,secondary,no,<999,yes,no,cellular,"""9-16""",1,>239,2,FALSE,0,unknown,no
40-49,admin.,single,secondary,no,1000-10999,yes,no,unknown,<9,1,60-239,>2,FALSE,0,unknown,no
40-49,technician,married,secondary,no,<999,no,no,cellular,17-24,2,60-239,>2,FALSE,0,unknown,no
40-49,services,single,secondary,no,>10999,yes,no,cellular,17-24,2,<60,>2,TRUE,>0,failure,no
50-59,technician,married,unknown,no,<999,yes,yes,unknown,"""9-16""",1,>239,1,FALSE,0,unknown,no
40-49,blue-collar,married,secondary,no,<999,yes,no,cellular,<9,1,60-239,1,TRUE,>0,failure,no
40-49,blue-collar,married,primary,no,<999,yes,no,unknown,17-24,1,<60,>2,FALSE,0,unknown,no
40-49,admin.,married,secondary,no,<999,yes,no,unknown,"""9-16""",1,60-239,>2,FALSE,0,unknown,no
<30,blue-collar,married,secondary,no,<999,yes,no,cellular,<9,1,>239,1,TRUE,>0,failure,no
30-39,management,divorced,tertiary,no,1000-10999,yes,no,cellular,17-24,2,>239,>2,TRUE,>0,failure,no
30-39,services,married,secondary,no,<999,yes,no,unknown,<9,1,60-239,>2,FALSE,0,unknown,no
40-49,technician,married,secondary,no,<999,no,no,cellular,<9,2,>239,2,FALSE,0,unknown,yes
>59,retired,married,secondary,no,1000-10999,no,no,cellular,"""9-16""",2,>239,>2,TRUE,>0,other,yes
<30,management,single,tertiary,no,<999,yes,no,cellular,"""9-16""",1,60-239,1,FALSE,0,unknown,no
<30,admin.,single,secondary,no,<999,no,no,cellular,17-24,2,60-239,1,TRUE,>0,failure,no
30-39,admin.,single,tertiary,no,1000-10999,yes,no,cellular,"""9-16""",1,>239,1,TRUE,>0,success,yes
30-39,management,single,tertiary,no,1000-10999,no,no,cellular,17-24,2,<60,2,FALSE,0,unknown,no
40-49,blue-collar,married,primary,no,<999,yes,no,cellular,"""9-16""",1,>239,1,FALSE,0,unknown,no
30-39,admin.,single,tertiary,no,<999,no,no,unknown,"""9-16""",1,60-239,>2,FALSE,0,unknown,no
50-59,services,married,primary,no,<999,no,yes,cellular,<9,1,>239,1,TRUE,>0,other,no
50-59,self-employed,married,tertiary,no,1000-10999,no,no,cellular,17-24,2,>239,>2,FALSE,0,unknown,no
40-49,blue-collar,married,primary,no,<999,no,no,unknown,<9,2,60-239,1,FALSE,0,unknown,no
50-59,retired,divorced,primary,no,<999,no,no,unknown,"""9-16""",1,60-239,1,FALSE,0,unknown,no
50-59,entrepreneur,divorced,tertiary,no,<999,no,no,cellular,<9,1,>239,1,TRUE,>0,failure,no
40-49,blue-collar,married,secondary,no,<999,yes,no,unknown,<9,1,>239,2,FALSE,0,unknown,no
40-49,blue-collar,married,secondary,no,1000-10999,yes,yes,unknown,<9,1,>239,2,FALSE,0,unknown,no
40-49,management,married,secondary,no,1000-10999,yes,no,cellular,17-24,2,60-239,1,FALSE,0,unknown,no
40-49,admin.,married,secondary,no,<999,no,no,cellular,<9,2,60-239,1,TRUE,>0,success,yes
30-39,blue-collar,single,secondary,no,<999,yes,no,unknown,"""9-16""",1,60-239,1,FALSE,0,unknown,no
<30,unemployed,married,secondary,no,<999,yes,no,unknown,<9,1,>239,2,FALSE,0,unknown,no
30-39,management,single,tertiary,no,<999,yes,no,unknown,>24,1,60-239,2,FALSE,0,unknown,no
50-59,housemaid,divorced,primary,no,<999,no,no,unknown,17-24,1,>239,2,FALSE,0,unknown,no
30-39,management,married,secondary,no,<999,no,no,unknown,<9,1,60-239,2,FALSE,0,unknown,no
30-39,management,married,tertiary,no,<999,yes,no,telephone,"""9-16""",2,60-239,>2,FALSE,0,unknown,no
50-59,self-employed,married,primary,no,<999,yes,no,unknown,17-24,1,<60,>2,FALSE,0,unknown,no
>59,entrepreneur,divorced,secondary,no,1000-10999,yes,no,unknown,>24,1,>239,>2,FALSE,0,unknown,no
40-49,entrepreneur,married,tertiary,no,1000-10999,yes,yes,cellular,<9,1,60-239,1,TRUE,>0,failure,no
30-39,management,single,tertiary,no,1000-10999,no,no,cellular,17-24,1,>239,1,FALSE,0,unknown,yes
30-39,technician,single,tertiary,no,1000-10999,no,no,cellular,17-24,2,60-239,>2,FALSE,0,unknown,no
30-39,management,married,tertiary,no,<999,yes,no,cellular,17-24,2,>239,1,FALSE,0,unknown,no
50-59,blue-collar,married,secondary,no,<999,yes,no,cellular,17-24,2,60-239,1,FALSE,0,unknown,no
30-39,technician,married,tertiary,no,<999,no,yes,cellular,"""9-16""",2,60-239,>2,FALSE,0,unknown,no
30-39,management,single,tertiary,no,1000-10999,yes,no,unknown,<9,1,>239,>2,FALSE,0,unknown,no
30-39,management,married,tertiary,no,<999,no,no,cellular,<9,2,>239,>2,FALSE,0,unknown,yes
40-49,unknown,married,unknown,no,1000-10999,no,no,unknown,17-24,1,60-239,2,FALSE,0,unknown,no
<30,services,single,secondary,no,<999,no,no,cellular,<9,1,60-239,>2,FALSE,0,unknown,no
30-39,technician,single,secondary,no,<999,no,no,cellular,>24,2,60-239,>2,FALSE,0,unknown,no
<30,student,single,unknown,no,1000-10999,no,no,cellular,<9,2,<60,>2,FALSE,0,unknown,yes
50-59,technician,married,unknown,no,<999,no,no,unknown,"""9-16""",1,60-239,1,FALSE,0,unknown,no
40-49,management,married,tertiary,no,<999,no,no,unknown,<9,1,60-239,1,FALSE,0,unknown,no
40-49,blue-collar,divorced,primary,no,<999,yes,no,unknown,"""9-16""",1,>239,>2,FALSE,0,unknown,no
40-49,technician,single,secondary,yes,<999,yes,no,unknown,<9,1,>239,>2,FALSE,0,unknown,yes
